"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Season","totalGoalInMatch","goalDiff"
"1","E0","14/08/93","Arsenal","Coventry",0,3,"A",0,1,"A","1993-94",3,3
"2","E0","14/08/93","Aston Villa","QPR",4,1,"H",2,0,"H","1993-94",5,3
"3","E0","14/08/93","Chelsea","Blackburn",1,2,"A",0,1,"A","1993-94",3,1
"4","E0","14/08/93","Liverpool","Sheffield Weds",2,0,"H",1,0,"H","1993-94",2,2
"5","E0","14/08/93","Man City","Leeds",1,1,"D",0,0,"D","1993-94",2,0
"6","E0","14/08/93","Newcastle","Tottenham",0,1,"A",0,0,"A","1993-94",1,1
"7","E0","14/08/93","Oldham","Ipswich",0,3,"A",0,1,"A","1993-94",3,3
"8","E0","14/08/93","Sheffield United","Swindon",3,1,"H",1,0,"H","1993-94",4,2
"9","E0","14/08/93","Southampton","Everton",0,2,"A",0,1,"A","1993-94",2,2
"10","E0","14/08/93","West Ham","Wimbledon",0,2,"A",0,1,"A","1993-94",2,2
"11","E0","15/08/93","Norwich","Man United",0,2,"A",0,1,"A","1993-94",2,2
"12","E0","16/08/93","Tottenham","Arsenal",0,1,"A",0,0,"A","1993-94",1,1
"13","E0","17/08/93","Everton","Man City",1,0,"H",0,0,"H","1993-94",1,1
"14","E0","17/08/93","Ipswich","Southampton",1,0,"H",0,0,"H","1993-94",1,1
"15","E0","17/08/93","Leeds","West Ham",1,0,"H",0,0,"H","1993-94",1,1
"16","E0","17/08/93","Wimbledon","Chelsea",1,1,"D",0,0,"D","1993-94",2,0
"17","E0","18/08/93","Blackburn","Norwich",2,3,"A",1,1,"A","1993-94",5,1
"18","E0","18/08/93","Coventry","Newcastle",2,1,"H",1,0,"H","1993-94",3,1
"19","E0","18/08/93","Man United","Sheffield United",3,0,"H",1,0,"H","1993-94",3,3
"20","E0","18/08/93","QPR","Liverpool",1,3,"A",0,1,"A","1993-94",4,2
"21","E0","18/08/93","Sheffield Weds","Aston Villa",0,0,"D",0,0,"D","1993-94",0,0
"22","E0","18/08/93","Swindon","Oldham",0,1,"A",0,0,"A","1993-94",1,1
"23","E0","21/08/93","Blackburn","Oldham",1,0,"H",0,0,"H","1993-94",1,1
"24","E0","21/08/93","Coventry","West Ham",1,1,"D",0,0,"D","1993-94",2,0
"25","E0","21/08/93","Everton","Sheffield United",4,2,"H",2,1,"H","1993-94",6,2
"26","E0","21/08/93","Ipswich","Chelsea",1,0,"H",0,0,"H","1993-94",1,1
"27","E0","21/08/93","Leeds","Norwich",0,4,"A",0,2,"A","1993-94",4,4
"28","E0","21/08/93","Man United","Newcastle",1,1,"D",0,0,"D","1993-94",2,0
"29","E0","21/08/93","QPR","Southampton",2,1,"H",1,0,"H","1993-94",3,1
"30","E0","21/08/93","Sheffield Weds","Arsenal",0,1,"A",0,0,"A","1993-94",1,1
"31","E0","21/08/93","Tottenham","Man City",1,0,"H",0,0,"H","1993-94",1,1
"32","E0","21/08/93","Wimbledon","Aston Villa",2,2,"D",1,1,"D","1993-94",4,0
"33","E0","22/08/93","Swindon","Liverpool",0,5,"A",0,2,"A","1993-94",5,5
"34","E0","23/08/93","Aston Villa","Man United",1,2,"A",0,1,"A","1993-94",3,1
"35","E0","24/08/93","Arsenal","Leeds",2,1,"H",1,0,"H","1993-94",3,1
"36","E0","24/08/93","Man City","Blackburn",0,2,"A",0,1,"A","1993-94",2,2
"37","E0","24/08/93","Oldham","Coventry",3,3,"D",1,1,"D","1993-94",6,0
"38","E0","24/08/93","Sheffield United","Wimbledon",2,1,"H",1,0,"H","1993-94",3,1
"39","E0","25/08/93","Chelsea","QPR",2,0,"H",1,0,"H","1993-94",2,2
